,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,negre,negre2,marro,roig,roig2,taronja,groc,verd,blau,lila,gris,blanc,label
28,28,28,12,4,0,0,0,0.0,0.0696855709876543,1.4606642232510287,0.0,0.0,0.0,1.5153195730452675,0.0,0.0,0.0,8.740756815843621,149.14625128600824,180k
29,29,29,13,5,1,1,0,63.75,0.0,0.0,0.0,0.0,0.0,1.7767543295610426,0.0,0.0,0.9824299125514404,73.03548846879286,114.20690800754458,470k
30,30,30,14,6,2,0,0,0.4413419495884774,0.0291495198902606,1.1154245970507544,0.0,0.0,0.0,1.687028463648834,0.0,0.0,0.0,7.868548525377229,161.97067365397805,100k
31,31,31,15,7,3,1,0,63.75,0.0,0.0250503686556927,0.039625128600823,0.0,0.0,2.635298782578875,0.0,0.0,2.468144504458162,69.52114947702331,125.28509194958848,270k
32,32,0,0,0,0,0,0,63.77231760116598,0.0,0.0,0.0,0.0,0.0,1.8673911179698213,0.0,0.0,1.6751864711934157,70.02580054012346,99.71094285836764,470k
33,33,1,1,1,1,1,0,63.75,0.0,0.0,0.3083472650891632,0.0,0.0,0.997460133744856,0.0,0.0,0.0715074159807956,70.8624828532236,124.89794988854597,820k
34,34,2,2,2,2,0,0,63.75,0.0,0.0,0.0,0.0,0.0,1.884698645404664,0.0,0.0,0.8872385116598079,70.6078800154321,83.66276577503429,470k
35,35,3,3,3,3,1,0,63.75,0.0,0.0810721021947873,0.0883594821673525,0.0851712534293552,0.0,2.5888417352537725,0.0,0.0,3.3098368912894376,69.17363254458162,123.00368655692728,270k
36,36,4,4,4,0,0,0,0.0,0.011386531207133,0.4836998456790123,0.8211966306584362,0.0,0.0,0.4914426868998628,0.0,0.0,0.3033371913580246,4.71857853223594,47.56791730967078,220k
37,37,5,5,5,1,1,0,0.0,0.0,0.3420513974622771,0.0,0.0,1.3076292438271604,1.2087941529492456,0.0,0.0,0.0956468621399177,5.517002100480109,209.8988608110425,330k
38,38,6,6,6,2,0,0,63.75,0.0,0.151213134430727,0.0,0.0,0.3338530949931413,1.4492776920438957,0.0,0.0,0.0,70.99183384773663,139.50140389231825,390k
39,39,7,7,7,3,1,0,63.75,0.1070333933470507,1.5818169152949246,0.1894718792866941,0.0186739111796982,0.0,2.2158189729080933,0.0,0.0,0.7524219821673526,74.14317022462276,122.38425925925924,120k
40,40,8,8,0,0,0,0,63.75,0.0,0.0,0.0,0.0,0.5989315414951989,1.912937242798354,0.0,0.0,0.0,69.00921103395062,109.02193715706449,390k
41,41,9,9,1,1,1,0,63.75,0.0,0.0,0.0,0.0,0.0,2.6348433213305897,0.0,0.0,1.075344007201646,69.71380958504801,73.31058706275721,470k
42,42,10,10,2,2,0,0,63.75,0.0619427297668038,0.1849172668038408,0.231829775377229,0.0,0.0,0.8712973679698217,0.0,0.0,0.2454936128257887,73.28007115912209,107.52711334019205,820k
43,43,11,11,3,3,1,0,0.0223176011659807,0.0,0.0,0.0,0.0,0.0,1.8673911179698213,0.0,0.0,1.6751864711934157,7.8876778978052124,143.34640775034293,470k
44,44,12,12,4,0,0,0,0.0223176011659807,0.0,0.0,0.0,0.0,0.0,1.8673911179698213,0.0,0.0,1.6751864711934157,7.8876778978052124,143.34640775034293,470k
